

##########################
Quicklogic Open Platform 2.0
SW Version: OP2-QuickFeather-bootloader
May 14 2020 16:40:02
##########################

User button not pressed: proceeding to load application
ram init content size: 0x00001008, 4104
ram_block: [0], start:[0x40018000], size: [0x00000400, 1024]
addr: 0x400185ac, read: 0x00030d86, write: 0x00000000
addr: 0x400185b0, read: 0x00030d86, write: 0x00000000
addr: 0x400185b4, read: 0x00030d86, write: 0x00000000
addr: 0x400185b8, read: 0x00030d86, write: 0x00000000
addr: 0x400185bc, read: 0x00030d86, write: 0x00000000
addr: 0x400185c0, read: 0x00030d86, write: 0x00000000
addr: 0x400185c4, read: 0x00030d86, write: 0x00000000
addr: 0x400185c8, read: 0x00030d86, write: 0x00000000
addr: 0x400185cc, read: 0x00030d86, write: 0x00000000
addr: 0x400185d0, read: 0x00030d86, write: 0x00000000
addr: 0x400185d4, read: 0x00030d86, write: 0x00000000
addr: 0x400185d8, read: 0x00030d86, write: 0x00000000
addr: 0x400185dc, read: 0x00030d86, write: 0x00000000
addr: 0x400185e0, read: 0x00030d86, write: 0x00000000
addr: 0x400185e4, read: 0x00030d86, write: 0x00000000
addr: 0x400185e8, read: 0x00030d86, write: 0x00000000
addr: 0x400185ec, read: 0x00030d86, write: 0x00000000
addr: 0x400185f0, read: 0x00030d86, write: 0x00000000
addr: 0x400185f4, read: 0x00030d86, write: 0x00000000
addr: 0x400185f8, read: 0x00030d86, write: 0x00000000
addr: 0x400185fc, read: 0x00030d86, write: 0x00000000
addr: 0x40018600, read: 0x00030d86, write: 0x00000000
addr: 0x40018604, read: 0x00030d86, write: 0x00000000
addr: 0x40018608, read: 0x00030d86, write: 0x00000000
addr: 0x4001860c, read: 0x00030d86, write: 0x00000000
addr: 0x40018610, read: 0x00030d86, write: 0x00000000
addr: 0x40018614, read: 0x00030d86, write: 0x00000000
addr: 0x40018618, read: 0x00030d86, write: 0x00000000
addr: 0x4001861c, read: 0x00030d86, write: 0x00000000
addr: 0x40018620, read: 0x00030d86, write: 0x00000000
addr: 0x40018624, read: 0x00030d86, write: 0x00000000
addr: 0x40018628, read: 0x00030d86, write: 0x00000000
addr: 0x4001862c, read: 0x00030d86, write: 0x00000000
addr: 0x40018630, read: 0x00030d86, write: 0x00000000
addr: 0x40018634, read: 0x00030d86, write: 0x00000000
addr: 0x40018638, read: 0x00030d86, write: 0x00000000
addr: 0x4001863c, read: 0x00030d86, write: 0x00000000
addr: 0x40018640, read: 0x00030d86, write: 0x00000000
addr: 0x40018644, read: 0x00030d86, write: 0x00000000
addr: 0x40018648, read: 0x00030d86, write: 0x00000000
addr: 0x4001864c, read: 0x00030d86, write: 0x00000000
addr: 0x40018650, read: 0x00030d86, write: 0x00000000
addr: 0x40018654, read: 0x00030d86, write: 0x00000000
addr: 0x40018658, read: 0x00030d86, write: 0x00000000
addr: 0x4001865c, read: 0x00030d86, write: 0x00000000
addr: 0x40018660, read: 0x00030d86, write: 0x00000000
addr: 0x40018664, read: 0x00030d86, write: 0x00000000
addr: 0x40018668, read: 0x00030d86, write: 0x00000000
addr: 0x4001866c, read: 0x00030d86, write: 0x00000000
addr: 0x40018670, read: 0x00030d86, write: 0x00000000
addr: 0x40018674, read: 0x00030d86, write: 0x00000000
addr: 0x40018678, read: 0x00030d86, write: 0x00000000
addr: 0x4001867c, read: 0x00030d86, write: 0x00000000
addr: 0x40018680, read: 0x00030d86, write: 0x00000000
addr: 0x40018684, read: 0x00030d86, write: 0x00000000
addr: 0x40018688, read: 0x00030d86, write: 0x00000000
addr: 0x4001868c, read: 0x00030d86, write: 0x00000000
addr: 0x40018690, read: 0x00030d86, write: 0x00000000
addr: 0x40018694, read: 0x00030d86, write: 0x00000000
addr: 0x40018698, read: 0x00030d86, write: 0x00000000
addr: 0x4001869c, read: 0x00030d86, write: 0x00000000
addr: 0x400186a0, read: 0x00030d86, write: 0x00000000
addr: 0x400186a4, read: 0x00030d86, write: 0x00000000
addr: 0x400186a8, read: 0x00030d86, write: 0x00000000
addr: 0x400186ac, read: 0x00030d86, write: 0x00000000
addr: 0x400186b0, read: 0x00030d86, write: 0x00000000
addr: 0x400186b4, read: 0x00030d86, write: 0x00000000
addr: 0x400186b8, read: 0x00030d86, write: 0x00000000
addr: 0x400186bc, read: 0x00030d86, write: 0x00000000
addr: 0x400186c0, read: 0x00030d86, write: 0x00000000
addr: 0x400186c4, read: 0x00030d86, write: 0x00000000
addr: 0x400186c8, read: 0x00030d86, write: 0x00000000
addr: 0x400186cc, read: 0x00030d86, write: 0x00000000
addr: 0x400186d0, read: 0x00030d86, write: 0x00000000
addr: 0x400186d4, read: 0x00030d86, write: 0x00000000
